window,summary_level,summary_key,method,n_points,mae,rmse,bias,max_abs_error,n_queries,n_not_applicable_queries
FULL_FROZEN_HORIZON_SUPPORT,per_rho_x_regime,rho=0.975|G2,M2,49,0.1497996976568405,0.15843680343440308,0.14672335600907027,0.2131481481481483,1,0
FULL_FROZEN_HORIZON_SUPPORT,per_rho_x_regime,rho=0.975|G2,M3_B1400,49,0.03566926081303196,0.04045154167172292,0.033537464583827434,0.0721820004268936,1,0
FULL_FROZEN_HORIZON_SUPPORT,per_rho_x_regime,rho=0.975|G2,M3_B2000,49,0.03381235820351264,0.03875836620385176,0.031747671239611225,0.0651601993349008,1,0
FULL_FROZEN_HORIZON_SUPPORT,per_rho_x_regime,rho=0.983333333333333|G0,M0,49,0.5727844285714285,0.5812618154108827,-0.5727844285714285,0.705227,1,0
FULL_FROZEN_HORIZON_SUPPORT,per_rho_x_regime,rho=0.983333333333333|G0,M1,49,0.03724489795918371,0.03920771477603848,0.03724489795918371,0.05500000000000005,1,0
FULL_FROZEN_HORIZON_SUPPORT,per_rho_x_regime,rho=0.983333333333333|G0,M2,49,0.02150793650793651,0.024193335039168554,0.0120748299319728,0.05777777777777782,1,0
FULL_FROZEN_HORIZON_SUPPORT,per_rho_x_regime,rho=0.983333333333333|G0,M3_B1400,49,0.01946346852128871,0.021585192229759884,0.01934207931403959,0.04069334726014806,1,0
FULL_FROZEN_HORIZON_SUPPORT,per_rho_x_regime,rho=0.983333333333333|G0,M3_B2000,49,0.016886099322040236,0.018789491354536177,0.01670110374561884,0.03599714556647848,1,0
FULL_FROZEN_HORIZON_SUPPORT,per_rho_x_regime,rho=0.983333333333333|G1,M0,49,0.470947693877551,0.47896496665126237,-0.470947693877551,0.655227,1,0
FULL_FROZEN_HORIZON_SUPPORT,per_rho_x_regime,rho=0.983333333333333|G1,M1,49,0.13846938775510206,0.14478520332561895,0.13846938775510206,0.18000000000000005,1,0
