rho_global,regime,horizon,scale,A_G_l_max,A_G_c_max,A_G_q_min,sigma_m1,sigma_m2_mean,sigma_m2_min,sigma_m2_max,sigma_m2_std_population,sigma_m2_median,sigma_m2_q25,sigma_m2_q75,m2_argmin_variant_id,m2_argmax_variant_id,sigma_m0_raw_product,m0_status,sigma_m0,m0_induced_l_max,m0_induced_c_max,m0_induced_q_min,sigma_m3_B1400,retained_mass,deterministic_truncation_abs_error_bound,m3_B1400_mc_var_bound,m3_B1400_mc_se_bound,m3_B1400_graph_trajectories,sigma_m3_B2000,m3_B2000_mc_var_bound,m3_B2000_mc_se_bound,m3_B2000_graph_trajectories,sigma_whitebox,error_m0,error_m1,error_m2,error_m3_B1400,error_m3_B2000
0.95,G0,100.0,1.23,0.5589555615010651,2.8362482085564817,0.5,1.0,0.98,0.95,1.0,0.0216024689946928,0.99,0.95,1.0,M2J_A1_B1_C1,M2J_A1_B1_C3,0.23552,PREDICTED,0.23552,0.4544354158545245,2.305892852484944,0.5,0.9810923993249144,0.9991741970173574,0.0008258029826425,0.0001787598699179,0.0133701110660298,1400,0.9787017476716908,0.0001250433740121,0.0111822794640522,2000,0.945,-0.7094799999999999,0.05500000000000005,0.03500000000000003,0.03609239932491448,0.033701747671690874
0.95,G0,105.0,1.23,0.5589555615010651,2.8362482085564817,0.5,1.0,0.9822222222222222,0.95,1.0,0.0229868454061969,1.0,0.95,1.0,M2J_A1_B1_C1,M2J_A1_B1_C3,0.259308,PREDICTED,0.259308,0.4544354158545245,2.305892852484944,0.5,0.9861030443380956,0.9991741970173574,0.0008258029826425,0.0001787598699179,0.0133701110660298,1400,0.9832026984364496,0.0001250433740121,0.0111822794640522,2000,0.95,-0.690692,0.050000000000000044,0.03222222222222226,0.036103044338095636,0.03320269843644963
0.95,G0,110.0,1.23,0.5589555615010651,2.8362482085564817,0.5,1.0,0.9833333333333334,0.95,1.0,0.0235702260395516,1.0,0.95,1.0,M2J_A1_B1_C1,M2J_A1_B1_C2,0.2529599999999999,PREDICTED,0.2529599999999999,0.4544354158545245,2.305892852484944,0.5,0.987535632248779,0.9991741970173574,0.0008258029826425,0.0001787598699179,0.0133701110660298,1400,0.9837027005756952,0.0001250433740121,0.0111822794640522,2000,0.955,-0.70204,0.04500000000000004,0.028333333333333433,0.03253563224877909,0.02870270057569524
0.95,G0,115.0,1.23,0.5589555615010651,2.8362482085564817,0.5,1.0,0.9866666666666668,0.96,1.0,0.0188561808316412,1.0,0.96,1.0,M2J_A1_B1_C1,M2J_A1_B1_C2,0.2457629999999999,PREDICTED,0.2457629999999999,0.4544354158545245,2.305892852484944,0.5,0.9892594754576128,0.9991741970173574,0.0008258029826425,0.0001787598699179,0.0133701110660298,1400,0.9844974285992716,0.0001250433740121,0.0111822794640522,2000,0.96,-0.714237,0.040000000000000036,0.02666666666666684,0.02925947545761287,0.02449742859927162
0.95,G0,120.0,1.23,0.5589555615010651,2.8362482085564817,0.5,1.0,0.9866666666666668,0.96,1.0,0.0188561808316412,1.0,0.96,1.0,M2J_A1_B1_C1,M2J_A1_B1_C2,0.234738,PREDICTED,0.234738,0.4544354158545245,2.305892852484944,0.5,0.9899749245224472,0.9991741970173574,0.0008258029826425,0.0001787598699179,0.0133701110660298,1400,0.985997747434796,0.0001250433740121,0.0111822794640522,2000,0.96,-0.725262,0.040000000000000036,0.02666666666666684,0.02997492452244721,0.025997747434795992
0.95,G0,125.0,1.23,0.5589555615010651,2.8362482085564817,0.5,1.0,0.9866666666666668,0.96,1.0,0.0188561808316412,1.0,0.96,1.0,M2J_A1_B1_C1,M2J_A1_B1_C2,0.3304979999999999,PREDICTED,0.3304979999999999,0.4544354158545245,2.305892852484944,0.5,0.9899736406305952,0.9991741970173574,0.0008258029826425,0.0001787598699179,0.0133701110660298,1400,0.9874977710779758,0.0001250433740121,0.0111822794640522,2000,0.96,-0.629502,0.040000000000000036,0.02666666666666684,0.029973640630595266,0.027497771077975797
0.95,G0,130.0,1.23,0.5589555615010651,2.8362482085564817,0.5,1.0,0.9866666666666668,0.96,1.0,0.0188561808316412,1.0,0.96,1.0,M2J_A1_B1_C1,M2J_A1_B1_C2,0.274176,PREDICTED,0.274176,0.4544354158545245,2.305892852484944,0.5,0.990689495584592,0.9991741970173574,0.0008258029826425,0.0001787598699179,0.0133701110660298,1400,0.9879980741513804,0.0001250433740121,0.0111822794640522,2000,0.955,-0.680824,0.04500000000000004,0.03166666666666684,0.035689495584592,0.03299807415138045
0.95,G0,135.0,1.23,0.5589555615010651,2.8362482085564817,0.5,1.0,0.9866666666666668,0.96,1.0,0.0188561808316412,1.0,0.96,1.0,M2J_A1_B1_C1,M2J_A1_B1_C2,0.2573,PREDICTED,0.2573,0.4544354158545245,2.305892852484944,0.5,0.990689495584592,0.9991741970173574,0.0008258029826425,0.0001787598699179,0.0133701110660298,1400,0.9889986802981892,0.0001250433740121,0.0111822794640522,2000,0.955,-0.6977,0.04500000000000004,0.03166666666666684,0.035689495584592,0.0339986802981892
0.95,G0,140.0,1.23,0.5589555615010651,2.8362482085564817,0.5,1.0,0.99,0.97,1.0,0.0141421356237309,1.0,0.97,1.0,M2J_A1_B1_C1,M2J_A1_B1_C2,0.25315,PREDICTED,0.25315,0.4544354158545245,2.305892852484944,0.5,0.989258597454923,0.9991741970173574,0.0008258029826425,0.0001787598699179,0.0133701110660298,1400,0.9879986645360694,0.0001250433740121,0.0111822794640522,2000,0.96,-0.70685,0.040000000000000036,0.030000000000000027,0.029258597454922985,0.027998664536069473
0.95,G0,145.0,1.23,0.5589555615010651,2.8362482085564817,0.5,1.0,0.99,0.97,1.0,0.0141421356237309,1.0,0.97,1.0,M2J_A1_B1_C1,M2J_A1_B1_C2,0.28182,PREDICTED,0.28182,0.4544354158545245,2.305892852484944,0.5,0.9899762084142992,0.9991741970173574,0.0008258029826425,0.0001787598699179,0.0133701110660298,1400,0.9894977911185868,0.0001250433740121,0.0111822794640522,2000,0.965,-0.6831799999999999,0.03500000000000003,0.025000000000000022,0.02497620841429926,0.024497791118586854
