replicate,mae_top1_1400,mae_uniform14_eq1400,mae_weighted14_eq1400,delta_weighted_minus_uniform,delta_weighted_minus_top1
74,0.029804375804375824,0.061066924066924065,0.04933270309607663,-0.011734220970847434,0.019528327291700807
75,0.031203346203346218,0.0568442728442729,0.042514131214052744,-0.014330141630220158,0.011310785010706526
76,0.030180180180180195,0.08031917631917633,0.07058827028088903,-0.009730906038287301,0.04040809010070884
77,0.034907335907335926,0.0411853281853282,0.03384819553209594,-0.007337132653232256,-0.001059140375239985
78,0.03150064350064352,0.07345173745173741,0.0635965105620097,-0.009855226889727717,0.032095867061366176
79,0.03140926640926643,0.05874774774774771,0.048552481568198386,-0.010195266179549321,0.017143215158931954
80,0.027978120978120993,0.07048262548262546,0.06025069707956547,-0.01023192840305999,0.032272576101444475
81,0.03145945945945947,0.05607593307593309,0.04699592169047162,-0.009080011385461467,0.015536462231012148
82,0.03193178893178895,0.07835135135135135,0.06740404359361025,-0.010947307757741095,0.03547225466182131
83,0.03219691119691121,0.05957142857142855,0.0499784467351507,-0.009592981836277853,0.01778153553823949
84,0.02999099099099101,0.07185585585585584,0.06102437635846571,-0.010831479497390134,0.031033385367474697
85,0.026740025740025753,0.06484041184041184,0.0547992650244781,-0.010041146815933738,0.028059239284452347
86,0.02527027027027029,0.05373230373230373,0.045462990779741,-0.008269312952562724,0.020192720509470713
87,0.036716859716859736,0.07377220077220076,0.0655537764982368,-0.008218424273963965,0.028836916781377057
88,0.02632303732303734,0.06771557271557269,0.05610345310432679,-0.011612119611245898,0.029780415781289447
89,0.031221364221364237,0.0822084942084942,0.07520236962704083,-0.007006124581453374,0.04398100540567659
90,0.029034749034749046,0.055356499356499375,0.04420621446502453,-0.011150284891474842,0.015171465430275487
91,0.03316473616473618,0.07473873873873871,0.06681325295009248,-0.007925485788646228,0.0336485167853563
92,0.02854568854568856,0.05114543114543116,0.04019266763426213,-0.010952763511169028,0.01164697908857357
93,0.03192535392535395,0.04779407979407982,0.04252187098720264,-0.005272208806877177,0.010596517061848693
94,0.027128700128700143,0.06268725868725872,0.050301326238802534,-0.012385932448456184,0.02317262611010239
95,0.03080180180180182,0.06874002574002577,0.057483864336861624,-0.011256161403164149,0.026682062535059805
