rho_global,regime,horizon,rank_a,rank_b,energy_a,energy_b,abs_energy_difference,sigma_a,sigma_b,abs_sigma_difference,alpha_a,alpha_b,n_a,n_b,pair_worstcase_mc_se_bound,sigma_gap_minus_1p96_worstcase_mc_se
0.95,G2,165.0,12,13,0.6969514617771779,0.7021312924594758,0.005179830682297881,1.0,0.0,1.0,0.0003432203786753,0.0002938230818542,1,1,0.7071067811865476,-0.38590382434967796
0.95,G2,170.0,12,13,0.6969514617771779,0.7021312924594758,0.005179830682297881,1.0,0.0,1.0,0.0003432203786753,0.0002938230818542,1,1,0.7071067811865476,-0.38590382434967796
0.95,G2,175.0,12,13,0.6969514617771779,0.7021312924594758,0.005179830682297881,1.0,0.0,1.0,0.0003432203786753,0.0002938230818542,1,1,0.7071067811865476,-0.38590382434967796
0.95,G2,180.0,12,13,0.6969514617771779,0.7021312924594758,0.005179830682297881,1.0,0.0,1.0,0.0003432203786753,0.0002938230818542,1,1,0.7071067811865476,-0.38590382434967796
0.95,G2,185.0,12,13,0.6969514617771779,0.7021312924594758,0.005179830682297881,1.0,0.0,1.0,0.0003432203786753,0.0002938230818542,1,1,0.7071067811865476,-0.38590382434967796
0.95,G2,190.0,12,13,0.6969514617771779,0.7021312924594758,0.005179830682297881,1.0,0.0,1.0,0.0003432203786753,0.0002938230818542,1,1,0.7071067811865476,-0.38590382434967796
0.95,G2,195.0,12,13,0.6969514617771779,0.7021312924594758,0.005179830682297881,1.0,0.0,1.0,0.0003432203786753,0.0002938230818542,1,1,0.7071067811865476,-0.38590382434967796
0.95,G2,200.0,12,13,0.6969514617771779,0.7021312924594758,0.005179830682297881,1.0,0.0,1.0,0.0003432203786753,0.0002938230818542,1,1,0.7071067811865476,-0.38590382434967796
0.95,G2,210.0,12,13,0.6969514617771779,0.7021312924594758,0.005179830682297881,1.0,0.0,1.0,0.0003432203786753,0.0002938230818542,1,1,0.7071067811865476,-0.38590382434967796
0.95,G2,215.0,12,13,0.6969514617771779,0.7021312924594758,0.005179830682297881,1.0,0.0,1.0,0.0003432203786753,0.0002938230818542,1,1,0.7071067811865476,-0.38590382434967796
0.95,G2,220.0,12,13,0.6969514617771779,0.7021312924594758,0.005179830682297881,1.0,0.0,1.0,0.0003432203786753,0.0002938230818542,1,1,0.7071067811865476,-0.38590382434967796
0.95,G2,225.0,12,13,0.6969514617771779,0.7021312924594758,0.005179830682297881,1.0,0.0,1.0,0.0003432203786753,0.0002938230818542,1,1,0.7071067811865476,-0.38590382434967796
0.975,G0,70.0,12,13,0.6969514617771779,0.7021312924594758,0.005179830682297881,1.0,0.0,1.0,0.0003432203786753,0.0002938230818542,1,1,0.7071067811865476,-0.38590382434967796
0.975,G0,75.0,12,13,0.6969514617771779,0.7021312924594758,0.005179830682297881,1.0,0.0,1.0,0.0003432203786753,0.0002938230818542,1,1,0.7071067811865476,-0.38590382434967796
0.975,G0,80.0,12,13,0.6969514617771779,0.7021312924594758,0.005179830682297881,1.0,0.0,1.0,0.0003432203786753,0.0002938230818542,1,1,0.7071067811865476,-0.38590382434967796
0.975,G0,85.0,12,13,0.6969514617771779,0.7021312924594758,0.005179830682297881,1.0,0.0,1.0,0.0003432203786753,0.0002938230818542,1,1,0.7071067811865476,-0.38590382434967796
0.975,G0,90.0,12,13,0.6969514617771779,0.7021312924594758,0.005179830682297881,1.0,0.0,1.0,0.0003432203786753,0.0002938230818542,1,1,0.7071067811865476,-0.38590382434967796
0.975,G0,95.0,12,13,0.6969514617771779,0.7021312924594758,0.005179830682297881,1.0,0.0,1.0,0.0003432203786753,0.0002938230818542,1,1,0.7071067811865476,-0.38590382434967796
0.975,G1,60.0,12,13,0.6969514617771779,0.7021312924594758,0.005179830682297881,1.0,0.0,1.0,0.0003432203786753,0.0002938230818542,1,1,0.7071067811865476,-0.38590382434967796
0.975,G1,100.0,12,13,0.6969514617771779,0.7021312924594758,0.005179830682297881,1.0,0.0,1.0,0.0003432203786753,0.0002938230818542,1,1,0.7071067811865476,-0.38590382434967796
