rho_global,regime,horizon,sigma_whitebox,sigma_m3_top1_existing,n_trajectories,variant_id,error_top1_existing,abs_error_top1_existing,diagnostic_role
0.975,G0,140.0,0.945,0.9844444444444445,900,M3Q_R01,0.039444444444444504,0.039444444444444504,NOT_COST_MATCHED_EXISTING_RANK1_MEMBER
0.975,G0,145.0,0.955,0.9822222222222222,900,M3Q_R01,0.02722222222222226,0.02722222222222226,NOT_COST_MATCHED_EXISTING_RANK1_MEMBER
0.975,G0,150.0,0.95,0.9822222222222222,900,M3Q_R01,0.03222222222222226,0.03222222222222226,NOT_COST_MATCHED_EXISTING_RANK1_MEMBER
0.975,G0,155.0,0.965,0.9877777777777778,900,M3Q_R01,0.022777777777777786,0.022777777777777786,NOT_COST_MATCHED_EXISTING_RANK1_MEMBER
0.975,G0,160.0,0.965,0.9877777777777778,900,M3Q_R01,0.022777777777777786,0.022777777777777786,NOT_COST_MATCHED_EXISTING_RANK1_MEMBER
0.975,G0,165.0,0.965,0.9877777777777778,900,M3Q_R01,0.022777777777777786,0.022777777777777786,NOT_COST_MATCHED_EXISTING_RANK1_MEMBER
0.975,G0,170.0,0.965,0.99,900,M3Q_R01,0.025000000000000022,0.025000000000000022,NOT_COST_MATCHED_EXISTING_RANK1_MEMBER
0.975,G0,175.0,0.965,0.99,900,M3Q_R01,0.025000000000000022,0.025000000000000022,NOT_COST_MATCHED_EXISTING_RANK1_MEMBER
0.975,G0,180.0,0.965,0.9888888888888888,900,M3Q_R01,0.02388888888888885,0.02388888888888885,NOT_COST_MATCHED_EXISTING_RANK1_MEMBER
0.975,G0,185.0,0.97,0.99,900,M3Q_R01,0.020000000000000018,0.020000000000000018,NOT_COST_MATCHED_EXISTING_RANK1_MEMBER
0.975,G0,190.0,0.97,0.9888888888888888,900,M3Q_R01,0.018888888888888844,0.018888888888888844,NOT_COST_MATCHED_EXISTING_RANK1_MEMBER
0.975,G0,195.0,0.97,0.9888888888888888,900,M3Q_R01,0.018888888888888844,0.018888888888888844,NOT_COST_MATCHED_EXISTING_RANK1_MEMBER
0.975,G0,200.0,0.965,0.9888888888888888,900,M3Q_R01,0.02388888888888885,0.02388888888888885,NOT_COST_MATCHED_EXISTING_RANK1_MEMBER
0.975,G0,205.0,0.97,0.9888888888888888,900,M3Q_R01,0.018888888888888844,0.018888888888888844,NOT_COST_MATCHED_EXISTING_RANK1_MEMBER
0.975,G0,210.0,0.975,0.9922222222222222,900,M3Q_R01,0.01722222222222225,0.01722222222222225,NOT_COST_MATCHED_EXISTING_RANK1_MEMBER
0.975,G0,215.0,0.975,0.9922222222222222,900,M3Q_R01,0.01722222222222225,0.01722222222222225,NOT_COST_MATCHED_EXISTING_RANK1_MEMBER
0.975,G0,220.0,0.98,0.9955555555555556,900,M3Q_R01,0.015555555555555656,0.015555555555555656,NOT_COST_MATCHED_EXISTING_RANK1_MEMBER
0.975,G0,225.0,0.98,0.9944444444444444,900,M3Q_R01,0.014444444444444371,0.014444444444444371,NOT_COST_MATCHED_EXISTING_RANK1_MEMBER
0.975,G0,230.0,0.975,0.9944444444444444,900,M3Q_R01,0.019444444444444375,0.019444444444444375,NOT_COST_MATCHED_EXISTING_RANK1_MEMBER
0.975,G0,235.0,0.975,0.9933333333333332,900,M3Q_R01,0.0183333333333332,0.0183333333333332,NOT_COST_MATCHED_EXISTING_RANK1_MEMBER
0.975,G0,240.0,0.975,0.9933333333333332,900,M3Q_R01,0.0183333333333332,0.0183333333333332,NOT_COST_MATCHED_EXISTING_RANK1_MEMBER
0.975,G1,60.0,0.83,0.8777777777777778,900,M3Q_R01,0.04777777777777781,0.04777777777777781,NOT_COST_MATCHED_EXISTING_RANK1_MEMBER
0.975,G1,65.0,0.835,0.8766666666666667,900,M3Q_R01,0.04166666666666674,0.04166666666666674,NOT_COST_MATCHED_EXISTING_RANK1_MEMBER
