provider,arm,provider_id,region_id,horizon,region_rho,rho,sigma_i1,sigma_m1_local,p_i1_jeffreys,p_reconstruction_jeffreys,bernoulli_kl,error
ProviderA,M1_INDEPENDENT_REPLAY,ProviderA,rho_region_0p95,220.0,0.95,0.95,0.44,1.0,0.4405940594059406,0.995049504950495,2.2855907109079068,0.56
ProviderA,M1_INDEPENDENT_REPLAY,ProviderA,rho_region_0p95,225.0,0.95,0.95,0.5,1.0,0.5,0.995049504950495,1.9634680628117214,0.5
ProviderA,M1_INDEPENDENT_REPLAY,ProviderA,rho_region_0p95,230.0,0.95,0.95,0.47,1.0,0.47029702970297027,0.995049504950495,2.1227575431874413,0.53
ProviderA,M1_INDEPENDENT_REPLAY,ProviderA,rho_region_0p95,235.0,0.95,0.95,0.49,1.0,0.4900990099009901,0.995049504950495,2.0161721042234078,0.51
ProviderA,M1_INDEPENDENT_REPLAY,ProviderA,rho_region_0p95,240.0,0.95,0.95,0.45,1.0,0.4504950495049505,0.995049504950495,2.230917429729339,0.55
ProviderA,M1_INDEPENDENT_REPLAY,ProviderA,rho_region_0p95,5.0,0.95,0.975,0.34,0.49,0.3415841584158416,0.4900990099009901,0.04498790978651422,0.14999999999999997
ProviderA,M1_INDEPENDENT_REPLAY,ProviderA,rho_region_0p95,10.0,0.95,0.975,0.3,0.67,0.30198019801980197,0.6683168316831684,0.27948034375754116,0.37000000000000005
ProviderA,M1_INDEPENDENT_REPLAY,ProviderA,rho_region_0p95,15.0,0.95,0.975,0.12,0.47,0.12376237623762376,0.47029702970297027,0.27580580345297945,0.35
ProviderA,M1_INDEPENDENT_REPLAY,ProviderA,rho_region_0p95,20.0,0.95,0.975,0.08,0.53,0.08415841584158416,0.5297029702970297,0.4555699968143234,0.45
ProviderA,M1_INDEPENDENT_REPLAY,ProviderA,rho_region_0p95,25.0,0.95,0.975,0.18,0.68,0.18316831683168316,0.6782178217821783,0.521147386995106,0.5
ProviderA,M1_INDEPENDENT_REPLAY,ProviderA,rho_region_0p95,30.0,0.95,0.975,0.06,0.53,0.06435643564356436,0.5297029702970297,0.5079456442216107,0.47000000000000003
ProviderA,M1_INDEPENDENT_REPLAY,ProviderA,rho_region_0p95,35.0,0.95,0.975,0.06,0.56,0.06435643564356436,0.5594059405940595,0.5654762968843442,0.5
ProviderA,M1_INDEPENDENT_REPLAY,ProviderA,rho_region_0p95,40.0,0.95,0.975,0.03,0.5,0.034653465346534656,0.5,0.5425838641652644,0.47
ProviderA,M1_INDEPENDENT_REPLAY,ProviderA,rho_region_0p95,45.0,0.95,0.975,0.03,0.54,0.034653465346534656,0.5396039603960396,0.6196037060536084,0.51
ProviderA,M1_INDEPENDENT_REPLAY,ProviderA,rho_region_0p95,50.0,0.95,0.975,0.03,0.6,0.034653465346534656,0.599009900990099,0.7493473563515597,0.57
ProviderA,M1_INDEPENDENT_REPLAY,ProviderA,rho_region_0p95,55.0,0.95,0.975,0.02,0.45,0.024752475247524754,0.4504950495049505,0.4876563214477234,0.43
ProviderA,M1_INDEPENDENT_REPLAY,ProviderA,rho_region_0p95,60.0,0.95,0.975,0.02,0.53,0.024752475247524754,0.5297029702970297,0.6354476846828623,0.51
ProviderA,M1_INDEPENDENT_REPLAY,ProviderA,rho_region_0p95,65.0,0.95,0.975,0.0,0.55,0.0049504950495049506,0.5495049504950495,0.7652078985577973,0.55
ProviderA,M1_INDEPENDENT_REPLAY,ProviderA,rho_region_0p95,70.0,0.95,0.975,0.0,0.5,0.0049504950495049506,0.5,0.6619304065244545,0.5
ProviderA,M1_INDEPENDENT_REPLAY,ProviderA,rho_region_0p95,75.0,0.95,0.975,0.0,0.55,0.0049504950495049506,0.5495049504950495,0.7652078985577973,0.55
ProviderA,M1_INDEPENDENT_REPLAY,ProviderA,rho_region_0p95,80.0,0.95,0.975,0.0,0.46,0.0049504950495049506,0.4603960396039604,0.5864889242508073,0.46
ProviderA,M1_INDEPENDENT_REPLAY,ProviderA,rho_region_0p95,85.0,0.95,0.975,0.0,0.47,0.0049504950495049506,0.47029702970297027,0.604810959908072,0.47
ProviderA,M1_INDEPENDENT_REPLAY,ProviderA,rho_region_0p95,90.0,0.95,0.975,0.0,0.55,0.0049504950495049506,0.5495049504950495,0.7652078985577973,0.55
ProviderA,M1_INDEPENDENT_REPLAY,ProviderA,rho_region_0p95,95.0,0.95,0.975,0.0,0.49,0.0049504950495049506,0.4900990099009901,0.6425180199781328,0.49
ProviderA,M1_INDEPENDENT_REPLAY,ProviderA,rho_region_0p95,100.0,0.95,0.975,0.0,0.52,0.0049504950495049506,0.5198019801980198,0.7019476212402811,0.52
ProviderA,M1_INDEPENDENT_REPLAY,ProviderA,rho_region_0p95,105.0,0.95,0.975,0.0,0.55,0.0049504950495049506,0.5495049504950495,0.7652078985577973,0.55
ProviderA,M1_INDEPENDENT_REPLAY,ProviderA,rho_region_0p95,110.0,0.95,0.975,0.0,0.48,0.0049504950495049506,0.4801980198019802,0.6234828968302408,0.48
ProviderA,M1_INDEPENDENT_REPLAY,ProviderA,rho_region_0p95,115.0,0.95,0.975,0.0,0.49,0.0049504950495049506,0.4900990099009901,0.6425180199781328,0.49
ProviderA,M1_INDEPENDENT_REPLAY,ProviderA,rho_region_0p95,120.0,0.95,0.975,0.0,0.41,0.0049504950495049506,0.41089108910891087,0.4997110088943573,0.41
ProviderA,M1_INDEPENDENT_REPLAY,ProviderA,rho_region_0p95,125.0,0.95,0.975,0.0,0.45,0.0049504950495049506,0.4504950495049505,0.5685042403444466,0.45
ProviderA,M1_INDEPENDENT_REPLAY,ProviderA,rho_region_0p95,130.0,0.95,0.975,0.0,0.48,0.0049504950495049506,0.4801980198019802,0.6234828968302408,0.48
ProviderA,M1_INDEPENDENT_REPLAY,ProviderA,rho_region_0p95,135.0,0.95,0.975,0.0,0.41,0.0049504950495049506,0.41089108910891087,0.4997110088943573,0.41
ProviderA,M1_INDEPENDENT_REPLAY,ProviderA,rho_region_0p95,140.0,0.95,0.975,0.0,0.44,0.0049504950495049506,0.4405940594059406,0.550845042519612,0.44
ProviderA,M1_INDEPENDENT_REPLAY,ProviderA,rho_region_0p95,145.0,0.95,0.975,0.0,0.46,0.0049504950495049506,0.4603960396039604,0.5864889242508073,0.46
ProviderA,M1_INDEPENDENT_REPLAY,ProviderA,rho_region_0p95,150.0,0.95,0.975,0.0,0.38,0.0049504950495049506,0.3811881188118812,0.45113574208048524,0.38
ProviderA,M1_INDEPENDENT_REPLAY,ProviderA,rho_region_0p95,155.0,0.95,0.975,0.0,0.45,0.0049504950495049506,0.4504950495049505,0.5685042403444466,0.45
ProviderA,M1_INDEPENDENT_REPLAY,ProviderA,rho_region_0p95,160.0,0.95,0.975,0.0,0.4,0.0049504950495049506,0.400990099009901,0.4832472163379052,0.4
ProviderA,M1_INDEPENDENT_REPLAY,ProviderA,rho_region_0p95,165.0,0.95,0.975,0.0,0.41,0.0049504950495049506,0.41089108910891087,0.4997110088943573,0.41
ProviderA,M1_INDEPENDENT_REPLAY,ProviderA,rho_region_0p95,170.0,0.95,0.975,0.0,0.44,0.0049504950495049506,0.4405940594059406,0.550845042519612,0.44
ProviderA,M1_INDEPENDENT_REPLAY,ProviderA,rho_region_0p95,175.0,0.95,0.975,0.0,0.39,0.0049504950495049506,0.3910891089108911,0.46705833285916487,0.39
ProviderA,M1_INDEPENDENT_REPLAY,ProviderA,rho_region_0p95,180.0,0.95,0.975,0.0,0.44,0.0049504950495049506,0.4405940594059406,0.550845042519612,0.44
ProviderA,M1_INDEPENDENT_REPLAY,ProviderA,rho_region_0p95,185.0,0.95,0.975,0.0,0.42,0.0049504950495049506,0.4207920792079208,0.5164587840051234,0.42
ProviderA,M1_INDEPENDENT_REPLAY,ProviderA,rho_region_0p95,190.0,0.95,0.975,0.0,0.4,0.0049504950495049506,0.400990099009901,0.4832472163379052,0.4
ProviderA,M1_INDEPENDENT_REPLAY,ProviderA,rho_region_0p95,195.0,0.95,0.975,0.0,0.44,0.0049504950495049506,0.4405940594059406,0.550845042519612,0.44
ProviderA,M1_INDEPENDENT_REPLAY,ProviderA,rho_region_0p95,200.0,0.95,0.975,0.0,0.41,0.0049504950495049506,0.41089108910891087,0.4997110088943573,0.41
ProviderA,M1_INDEPENDENT_REPLAY,ProviderA,rho_region_0p95,205.0,0.95,0.975,0.0,0.47,0.0049504950495049506,0.47029702970297027,0.604810959908072,0.47
ProviderA,M1_INDEPENDENT_REPLAY,ProviderA,rho_region_0p95,210.0,0.95,0.975,0.0,0.48,0.0049504950495049506,0.4801980198019802,0.6234828968302408,0.48
ProviderA,M1_INDEPENDENT_REPLAY,ProviderA,rho_region_0p95,215.0,0.95,0.975,0.0,0.43,0.0049504950495049506,0.4306930693069307,0.5335001019812197,0.43
ProviderA,M1_INDEPENDENT_REPLAY,ProviderA,rho_region_0p95,220.0,0.95,0.975,0.0,0.41,0.0049504950495049506,0.41089108910891087,0.4997110088943573,0.41
ProviderA,M1_INDEPENDENT_REPLAY,ProviderA,rho_region_0p95,225.0,0.95,0.975,0.0,0.41,0.0049504950495049506,0.41089108910891087,0.4997110088943573,0.41
ProviderA,M1_INDEPENDENT_REPLAY,ProviderA,rho_region_0p95,230.0,0.95,0.975,0.0,0.4,0.0049504950495049506,0.400990099009901,0.4832472163379052,0.4
ProviderA,M1_INDEPENDENT_REPLAY,ProviderA,rho_region_0p95,235.0,0.95,0.975,0.0,0.4,0.0049504950495049506,0.400990099009901,0.4832472163379052,0.4
ProviderA,M1_INDEPENDENT_REPLAY,ProviderA,rho_region_0p95,240.0,0.95,0.975,0.0,0.35,0.0049504950495049506,0.35148514851485146,0.4048858647495121,0.35
